10,9,1000,500,19729.088
28,3,1500,500,22660.836
10,1,500,1000,19674.557
10,4,2000,500,17434.471
10,2,2000,500,15722.483
10,2,2000,1000,17800.243
39,8,1000,2000,23176.351
20,7,500,1500,25921.768
10,2,2000,2000,18463.004
10,5,500,500,16951.532
10,15,1000,1000,24405.218
10,3,500,500,22674.274
10,2,2000,1000,16783.234
10,9,1500,500,20386.07
10,3,1500,1500,18516.769
10,4,1000,1500,18161.3
10,10,1000,1000,20438.45
25,5,1500,1500,25843.497
34,1,1500,1000,17861.64
10,3,1500,1000,17343.618
58,25,1000,500,0
58,20,2000,500,0
44,20,2000,500,11089.418
58,20,1500,500,0
58,20,1000,500,0
44,9,1500,500,10714.02
44,17,2000,1500,10765.076
44,12,2000,1500,10855.482
44,10,1000,1500,10895.823
44,8,2000,1000,10936.414
44,11,1500,1000,10953.003
44,20,1000,1000,11060.692
44,20,2000,1000,11084.727
44,19,1000,500,11093.205
44,21,1500,2000,11151.255
44,19,1500,1000,11155.435
44,21,1000,1000,11213.591
44,16,1500,1500,11219.858
44,20,1000,2000,11275.865
44,11,2000,2000,11281.435
44,25,1000,500,11357.467
44,15,1000,2000,11414.857
62,11,2000,1500,11891.186
62,35,2000,500,11993.036
62,28,1500,1000,12140.195
62,20,1500,1000,12304.063
62,35,2000,1500,12360.585
62,16,2000,1000,12378.776
62,28,1500,1000,12466.208
44,16,500,1500,12469.27
44,16,2000,500,12530.327
44,25,1500,2000,12564.838
44,20,500,2000,12569.437
44,25,500,1000,12631.17
44,20,500,1000,12641.814
44,25,500,1500,12667.509
44,35,2000,1000,12815.304
62,16,1000,2000,12819.346
44,29,1000,1000,12831.007
62,12,1500,2000,12839.972
36,30,1500,500,12840.661
44,30,1500,500,12846.461
44,30,2000,500,12906.179
44,35,2000,1500,12932.202
44,35,1500,1500,12964.788
44,30,2000,2000,12966.238
62,35,1500,2000,12972.507
44,35,1500,2000,12984.01
36,19,1500,2000,13158.121
62,20,1000,1000,12989.282
62,35,2000,1000,12989.404
62,16,1500,500,12994.717
62,25,2000,500,13001.873
36,30,2000,1500,13011.26
44,25,2000,1000,13014.85
44,28,1000,1500,13048.802
44,30,1000,1000,13065.398
36,16,2000,1000,13069.134
62,28,2000,2000,13079.736
62,16,2000,500,13113.801
44,28,1000,2000,13132.031
44,35,1500,1000,13137.625
62,15,2000,2000,13137.998
44,20,500,500,13141.606
44,22,1000,500,13144.424
44,32,2000,500,13145.369
44,35,2000,2000,13147.999
36,28,1000,2000,13159.596
36,16,2000,1500,13160.061
62,22,1500,1500,13167.728
36,16,1000,1000,13184.391
44,30,1500,1000,13188.214
44,25,2000,1500,13191.812
36,35,2000,1500,13201.361
36,29,1000,2000,13209.477
36,20,1500,2000,13211.255
36,20,1000,500,13221.917
10,9,1000,2000,16807.881
62,25,1000,1500,13260.153
62,30,2000,1500,13269.282
36,20,1000,2000,13272.568
36,28,1500,1000,13279.949
36,20,1500,1500,13289.883
36,21,2000,1500,13296.505
44,35,1000,1500,13311.309
62,16,2000,1500,13326.774
62,20,1500,1000,13345.113
62,17,2000,1000,13373.812
36,16,2000,1000,13444.858
36,25,1500,1000,13478.36
36,24,1000,1000,13513.408
36,25,1000,1000,13517.565
62,28,1000,2000,13537.517
62,29,1000,1000,13540.847
44,30,1000,2000,13553.482
62,20,1000,1500,13587.629
36,35,1500,1500,13601.212
62,20,2000,500,13602.507
36,25,2000,1000,13606.076
36,15,1500,1000,13628.974
36,30,1500,1000,13630.199
62,30,2000,2000,13637.468
62,30,1000,2000,13643.329
36,35,1000,1000,13661.619
36,30,2000,500,13664.793
10,14,2000,500,17896.847
36,28,2000,500,13684.133
36,35,2000,2000,13697.382
44,20,500,1000,13704.539
62,15,1000,500,13733.302
36,28,1000,500,13737.056
36,20,1500,500,13748.169
36,25,2000,500,13757.839
62,25,1000,500,13765.821
36,23,1500,2000,13791.967
36,25,2000,2000,13795.478
10,4,500,1500,18881.537
36,35,1000,1500,13801.188
62,30,2000,1000,13822.101
62,25,1500,500,13834.096
36,35,2000,1000,13834.227
44,30,2000,1000,13878.272
36,18,1000,1500,13915.821
36,25,1000,500,13926.622
36,25,2000,2000,13993.058
44,30,1000,500,14007.868
10,7,2000,1000,20052.312
44,30,1000,1500,14062.787
36,25,1000,1500,14070.536
44,30,1500,1000,14099.357
62,20,1000,1000,14160.4
62,30,1000,1000,14167.935
44,30,1000,1000,14182.827
44,30,1000,2000,14219.97
44,30,1500,2000,14220.945
36,25,1000,2000,14222.014
62,35,1000,1500,14277.716
62,20,1500,1500,14329.084
62,25,1000,2000,14421.881
62,30,1500,2000,14435.56
44,35,500,1500,14722.185
44,35,500,2000,14754.011
44,30,500,500,14792.738
44,30,500,1000,14800.961
44,35,500,500,14848.554
36,20,2000,500,14940.196
62,8,500,1500,15647.633
44,5,500,2000,15690.576
44,3,1500,1000,15965.965
10,4,500,1000,16002.459
44,5,1500,1500,16116.432
44,1,1000,2000,16151.835
44,3,1000,500,16206.486
44,5,1000,1000,16233.085
62,8,500,1000,16271.026
10,3,1500,1000,16446.215
62,1,1500,2000,17381.969
34,2,2000,1500,17453.976
34,2,2000,1000,17534.385
62,4,1000,1000,17565.799
62,3,1500,1000,17570.124
44,3,500,1000,17621.632
34,6,2000,1500,17687.524
34,1,1500,1500,17690.874
34,3,2000,500,17803.012
34,2,1000,2000,17813.207
34,2,1500,500,17845.155
10,10,500,1500,17847.551
44,4,1000,1000,17881.103
44,9,500,500,17913.542
34,1,1000,1000,17979.779
44,1,1000,1500,18062.854
44,4,1000,2000,18071.525
44,2,500,2000,18082.262
34,11,1500,2000,18110.93
34,5,1500,1000,18130.369
39,2,1500,1000,18177.148
44,2,1000,1500,18183.186
44,6,1000,1000,18202.139
44,11,1000,2000,18211.705
34,3,2000,500,18226.328
34,9,1500,2000,18226.354
62,4,1000,2000,18241.243
44,9,1500,2000,18242.484
10,7,2000,1500,18245.282
34,1,1000,500,18279.146
39,5,2000,1000,18315.019
44,3,500,1500,18360.846
44,6,1500,1500,18414.638
10,2,1000,1500,18422.233
34,5,2000,2000,18426.718
46,2,1500,2000,18430.178
44,12,1000,2000,18436.793
34,4,1500,2000,18576.755
34,3,1500,1000,18726.673
10,3,2000,2000,18784.095
46,13,2000,2000,18902.319
44,8,500,1500,18953.043
39,6,1500,2000,18957.349
62,3,1000,1500,18972.818
10,3,1000,500,18997.361
10,11,1500,500,19259.765
10,11,2000,2000,19337.347
62,2,1000,500,19392.364
62,3,1500,1500,19407.549
10,12,1000,1500,19427.911
62,4,1000,1500,19446.793
46,4,1500,1000,19463.832
44,7,500,1500,19553.581
44,3,500,2000,19553.875
46,15,2000,1500,19632.041
46,14,2000,2000,19649.977
62,5,1500,1500,19657.99
44,2,500,500,19663.752
34,11,1000,1500,19678.96
44,10,500,2000,19685.919
10,9,1500,1500,19687.102
44,21,500,1000,19693.328
10,8,2000,1500,20060.184
17,13,2000,1000,26807.03
62,6,1000,2000,19709.699
44,2,500,1500,19738.929
62,6,1000,1000,19812.821
10,12,1500,1000,19829.139
46,4,1500,1000,19843.631
62,5,1500,2000,19899.735
34,4,1000,1500,19900.069
10,5,500,2000,19931.933
36,2,500,1000,19948.87
44,29,500,1000,20011.369
62,10,500,2000,20042.287
46,2,1000,500,20072.483
46,2,1000,500,20089.849
34,3,1000,1000,20105.659
34,4,1000,2000,20129.816
46,4,1500,500,20141.961
62,7,1500,500,20153.679
28,4,1000,500,20257.817
10,3,1000,1000,20277.724
34,3,1000,2000,20286.265
62,6,1500,1000,20302.625
34,13,1000,1000,20370.864
62,1,1500,2000,20378.326
36,5,500,2000,20389.462
28,12,2000,1500,20392.752
28,3,1000,500,20396.089
36,3,500,500,20419.384
36,2,500,500,20422.205
36,1,500,1500,20450.667
36,2,500,1000,20472.582
10,4,500,500,20492.423
34,12,1000,500,20531.342
39,3,1500,1000,20551.986
36,4,500,1500,20558.005
39,1,1500,1500,20587.839
34,13,1000,1000,20592.283
10,5,1000,2000,20665.002
36,4,500,1500,20674.754
34,4,1000,2000,20684.002
34,7,2000,2000,20710.447
34,6,2000,1000,20718.806
28,14,1000,2000,20736.088
46,3,1500,1500,20747.901
46,12,1000,1500,20761.309
39,6,1000,1500,20807.036
36,3,500,1000,20812.301
46,13,1000,1500,20858.295
39,3,1000,2000,20924.345
36,2,500,1000,20941.075
34,6,1500,1000,20949.676
25,16,1500,1000,20972.738
28,13,1500,2000,22655.25
46,12,1000,2000,20994.127
34,23,1500,1500,21000.576
62,3,1500,1000,21015.035
46,4,1500,1500,21028.063
46,10,2000,500,21062.634
34,6,1500,1000,21065.7
10,5,2000,1500,21111.918
10,14,2000,1000,21133.787
10,14,1000,1000,21157.373
62,15,1000,1000,21160.153
34,13,1000,500,21182.221
10,17,2000,1500,21245.987
46,12,1000,2000,21252.119
46,2,1000,2000,21309.094
36,15,500,500,21318.975
46,9,1500,500,21329.55
46,12,2000,1500,21347.278
46,15,1000,1000,21349.101
46,4,1500,2000,21384.294
10,17,1000,500,21400.237
34,3,1500,2000,21403.934
34,15,1500,2000,21428.131
25,5,1500,1000,21435.638
28,16,1000,500,22681.35
62,6,1000,1500,21468.216
39,3,1000,1000,21533.369
62,10,1000,2000,21546.656
46,19,1000,1000,21560.894
25,12,2000,2000,21615.071
39,7,1500,2000,21629.064
62,3,1000,500,21654.962
28,5,1000,1500,21679.5
62,1,1000,1500,21724.385
46,3,1500,1000,21738.92
28,8,1500,500,22921.335
46,13,2000,1000,21744.886
46,5,500,500,21753.926
39,5,1000,500,21756.54
39,5,1500,1000,21820.001
46,7,2000,1500,21890.585
46,14,2000,1500,21932.209
25,10,2000,1500,21938.682
39,5,1500,2000,21947.338
28,14,2000,2000,21947.353
62,5,1000,2000,21995.237
28,15,1000,1000,21996.622
28,14,2000,500,22974.19
46,14,1000,1000,22049.427
62,4,1000,2000,22050.963
62,2,1000,1000,22144.764
62,2,500,1000,22208.382
46,9,2000,500,22226.301
28,11,1000,2000,22228.876
62,2,500,1500,22230.888
46,5,2000,500,22234.265
46,20,500,1000,22284.002
10,8,500,1500,22312.237
25,8,1000,1500,22331.528
46,12,1000,1500,22476.228
62,3,500,500,22489.952
46,11,2000,1000,22502.514
25,5,1500,2000,22508.292
25,16,1000,1500,22543.45
46,5,2000,1000,22562.847
34,4,1000,1500,22565.775
28,15,1000,2000,22579.821
25,5,1000,1500,22584.974
46,10,2000,2000,22593.145
62,4,1000,1000,22620.61
25,13,1500,2000,22645.117
46,15,500,1500,22691.061
28,10,2000,500,22713.117
46,9,500,2000,22733.108
39,17,1000,500,22754.224
46,13,1000,500,22832.512
28,2,1500,1500,22832.996
28,3,2000,1500,22834.043
39,8,1000,2000,22843.228
25,16,2000,1500,22851.722
34,1,1500,1500,22862.773
28,8,2000,500,22873.455
25,11,1500,1500,22874.282
39,8,1000,1000,22879.554
46,4,2000,500,23035.614
25,4,2000,500,23078.587
28,17,2000,500,23091.861
25,11,2000,1000,23109.044
34,6,1500,1000,23172.63
10,7,1500,2000,23193.54
46,18,500,500,23260.196
10,6,1500,2000,23305.06
28,18,2000,1000,23320.742
34,3,1000,1000,23331.671
28,4,500,1500,23336.8
62,4,500,2000,23351.289
46,8,1500,2000,23378.239
17,18,1500,2000,27551.555
62,7,500,2000,23402.642
34,15,1000,2000,23417.743
28,11,2000,1000,23500.624
62,15,500,1000,23511.495
20,16,1000,2000,23511.566
62,14,500,1500,23537.197
39,2,1000,1500,23537.229
62,8,500,500,23615.451
62,4,500,2000,23632.95
39,1,1000,500,23638.051
28,20,500,500,23665.011
25,7,1000,1000,23670.311
63,13,1000,1500,23680.498
28,11,2000,1000,23713.428
28,10,1500,2000,23804.288
28,12,1000,2000,23828.584
28,14,1000,1500,23832.304
28,18,2000,1000,23834.03
46,5,1500,1000,23879.738
28,9,1000,1500,23924.735
28,16,2000,2000,23929.305
28,8,2000,2000,23945.732
28,18,500,1000,24586.437
62,1,500,1000,23969.895
28,13,1500,1000,24081.631
39,5,1000,1000,24088.847
28,19,500,2000,24113.233
25,19,1500,500,24114.139
28,18,1500,1000,24152.345
34,22,1000,1000,24227.209
62,2,500,1500,24250.89
63,13,2000,1000,24253.551
34,5,1000,500,24291.516
46,15,1000,1000,24650.819
63,8,1000,2000,24294.319
18,16,2000,1500,24299.471
28,22,1500,1000,24301.704
18,17,2000,500,24383.656
28,12,1000,1000,24388.755
25,9,1000,2000,24401.13
25,15,2000,1500,24409.148
18,15,1500,1000,24416.597
28,3,1000,1000,24481.704
46,17,500,1000,24510.204
28,18,1500,1000,24513.906
39,10,1000,2000,24532.621
20,7,2000,2000,25802.795
25,18,1000,2000,24667.406
46,15,2000,1000,24668.32
63,17,2000,500,24700.425
34,6,1000,1500,24756.278
18,12,1000,1000,24775.985
46,18,500,1500,24830.265
20,10,1000,1000,24860.642
25,10,2000,1000,24907.566
39,7,1000,1000,24956.107
25,3,1000,2000,24975.202
34,4,1000,2000,25000.199
34,18,1000,2000,25000.935
28,14,1500,2000,25010.157
39,17,1000,2000,25010.666
39,13,1000,1500,25017.526
25,15,1000,1000,25025.013
10,20,1000,2000,25074.293
28,11,500,2000,25098.473
34,10,1000,2000,25178.549
63,9,500,1500,25208.897
28,20,1000,1000,25213.789
34,3,1500,2000,25217.629
63,20,1500,2000,25269.518
34,22,1000,1000,25328.758
63,9,1000,1000,25347.076
39,9,1000,1000,25367.76
34,2,1000,1000,25367.914
18,18,1000,1500,25397.325
25,19,2000,2000,25406.854
63,11,2000,1500,25438.712
28,25,500,1500,25464.281
34,6,1000,1500,25479.367
20,10,2000,1500,25510.127
63,15,1500,500,25545.206
20,19,1500,1000,25570.909
28,20,1500,1500,25579.401
20,20,1500,2000,25595.531
63,10,1500,2000,25605.479
46,6,500,1000,25641.448
39,7,1000,500,25680.515
28,10,2000,1500,25730.033
63,8,2000,500,25748.498
34,16,1500,1000,25761.003
46,19,500,500,25793.678
28,11,500,1000,25797.753
28,29,500,500,25820.311
46,27,500,2000,25930.538
20,17,500,2000,25954.07
39,5,1000,1500,26006.106
28,7,500,1500,26007.806
20,20,1500,2000,26047.276
63,17,2000,1000,26055.053
63,9,1000,1000,26061.681
63,15,2000,2000,26078.481
34,1,1000,500,26087.889
28,19,500,500,26095.106
63,17,2000,500,26101.917
18,8,500,1000,26106.726
30,8,1500,1000,26142.056
25,15,2000,500,26168.682
63,7,2000,2000,26188.842
63,20,500,2000,26199.505
18,20,1500,1500,26244.683
20,24,500,500,26249.011
25,18,2000,2000,26267.935
30,15,2000,500,26523.85
63,11,1500,1500,26284.669
20,17,1500,500,26322.836
18,20,1000,2000,26340.969
63,16,2000,1500,26363.481
30,17,2000,2000,26371.144
18,17,2000,2000,26406.893
25,17,1000,500,26423.705
34,9,1500,2000,26465.501
18,19,500,1500,26471.265
25,13,2000,500,26501.495
18,17,2000,1500,26505.599
18,24,500,1500,26559.665
18,19,1500,2000,26574.168
44,8,1000,500,26624.724
20,19,1000,500,26641.725
63,15,1500,1000,26739.184
20,9,2000,2000,26742.929
63,12,500,1000,26764.842
63,9,1000,2000,26773.469
17,19,1500,500,26775.16
30,15,2000,1000,26789.738
17,18,1000,2000,26804.583
34,34,1000,2000,26808.493
25,9,500,500,26818.183
25,6,1000,500,26821.52
25,15,1000,2000,26837.277
34,22,500,2000,26859.05
25,21,500,1000,26887.944
17,17,1500,1500,26901.066
18,15,500,1000,26904.205
25,17,2000,1000,26905.341
18,25,1000,1500,26923.373
17,17,1500,2000,26952.658
34,10,500,500,26958.938
34,17,1000,1000,26977.455
25,23,500,2000,27008.717
17,16,2000,1500,27027.099
18,19,2000,1500,27054.031
17,8,2000,1000,27079.69
28,14,500,1000,27088.66
17,13,1500,1000,27098.23
17,20,1000,2000,27126.945
25,8,500,500,27136.842
18,18,1500,1000,27150.292
17,16,2000,1500,27173.212
25,7,500,1500,27188.939
17,22,1000,1500,27194.354
34,9,2000,1500,27205.098
34,24,1000,1000,27208.754
34,10,2000,2000,27234.165
18,17,1500,1000,27237.595
17,16,1000,500,27251.187
63,17,2000,1500,27252.253
17,16,2000,1000,27252.589
17,15,2000,500,27255.397
30,18,1500,1000,27258.646
25,11,2000,1500,27259.452
17,13,1500,1000,27262.826
25,22,500,500,27263.721
20,18,2000,1000,27269.549
18,18,2000,2000,27275.745
34,12,1500,2000,27279.729
34,21,1000,500,27297.125
17,17,1500,1000,27308.107
34,15,1000,1000,27310.482
17,15,1500,2000,27341.28
17,8,1000,2000,27365.241
63,18,1000,500,27387.005
34,20,1000,2000,27426.389
17,17,1000,1000,27436.609
17,19,2000,1500,27443.91
17,10,1000,1000,27446.143
18,19,2000,1000,27460.131
17,16,2000,2000,27462.628
17,22,1000,1500,27462.949
17,10,2000,2000,27476.047
18,22,1500,1000,27476.75
30,20,2000,1500,27478.035
34,10,500,1500,27483.407
34,23,1500,2000,27496.888
34,27,1000,1000,27511.221
25,17,1500,1000,27514.101
46,6,500,1500,27535.738
25,20,1500,2000,27544.081
17,22,1000,1500,27564.478
25,17,1000,1000,27574.083
28,18,500,1000,27633.821
20,19,1000,1500,27642.038
20,21,2000,1000,27650.535
63,18,500,500,27726.475
34,12,1500,1500,27731.601
63,11,2000,2000,27755.473
30,18,1000,500,27795.776
34,16,1000,1500,27801.045
18,20,1000,2000,27801.969
30,23,2000,1500,27811.273
25,13,1000,1000,27826.108
18,16,2000,1000,27826.118
17,16,2000,2000,27826.261
34,15,2000,1000,27839.688
20,18,2000,500,27843.936
30,22,1000,1500,27874.152
34,7,1000,500,27874.181
20,15,2000,500,27880.561
20,19,2000,500,27880.684
46,14,1000,2000,27884.901
30,19,1500,2000,27900.743
34,22,2000,500,27910.694
20,18,1000,500,27915.828
28,18,2000,1500,27934.05
17,19,1000,1000,27949.924
51,20,2000,2000,27962.015
17,11,2000,500,27977.635
17,15,2000,500,27993.696
30,21,2000,1000,27996.319
20,21,1000,1000,28005.538
20,14,1000,1500,28037.574
20,18,500,1500,28040.858
30,23,1000,1500,28046.6
18,27,1000,500,28085.07
34,18,2000,1000,28143.344
25,22,500,1500,28149.608
17,19,1000,500,28177.593
34,10,500,1000,28195.183
30,21,1000,2000,28196.699
18,16,2000,500,28202.094
20,16,2000,1000,28214.226
30,21,1000,2000,28218.828
18,14,500,1000,28228.418
18,25,1000,500,28262.699
20,22,2000,1500,28919.253
46,24,1500,2000,28299.491
18,20,500,500,28330.628
46,15,2000,1500,28335.169
18,19,1000,500,28372.267
34,20,1000,1500,28391.492
20,20,1500,2000,28393.186
18,24,500,2000,28403.271
20,17,1000,2000,28405.799
46,20,1500,1500,28417.839
46,19,2000,2000,28549.023
46,20,2000,1000,28551.927
